date,linear daily rate,continuous daily rate
2012-04-06,2.767e-06,2.767e-06
2012-04-09,3.557e-06,3.557e-06
2012-04-10,3.557e-06,3.557e-06
2012-04-11,3.557e-06,3.557e-06
2012-04-12,3.557e-06,3.557e-06
2012-04-13,3.557e-06,3.557e-06
2012-04-16,3.162e-06,3.162e-06
2012-04-17,3.162e-06,3.162e-06
2012-04-18,2.767e-06,2.767e-06
2012-04-19,2.767e-06,2.767e-06
2012-04-20,3.162e-06,3.162e-06
2012-04-23,3.162e-06,3.162e-06
2012-04-24,3.557e-06,3.557e-06
2012-04-25,3.557e-06,3.557e-06
2012-04-26,3.557e-06,3.557e-06
2012-04-27,3.557e-06,3.557e-06
2012-04-30,3.953e-06,3.952e-06
2012-05-01,3.557e-06,3.557e-06
2012-05-02,3.162e-06,3.162e-06
2012-05-03,3.557e-06,3.557e-06
2012-05-04,2.767e-06,2.767e-06
2012-05-07,3.953e-06,3.952e-06
2012-05-08,3.557e-06,3.557e-06
2012-05-09,3.557e-06,3.557e-06
2012-05-10,3.953e-06,3.952e-06
2012-05-11,3.953e-06,3.952e-06
2012-05-14,3.953e-06,3.952e-06
2012-05-15,3.557e-06,3.557e-06
2012-05-16,3.953e-06,3.952e-06
2012-05-17,3.953e-06,3.952e-06
2012-05-18,3.162e-06,3.162e-06
2012-05-21,3.557e-06,3.557e-06
2012-05-22,3.557e-06,3.557e-06
2012-05-23,3.557e-06,3.557e-06
2012-05-24,3.953e-06,3.952e-06
2012-05-25,3.557e-06,3.557e-06
2012-05-29,3.557e-06,3.557e-06
2012-05-30,2.767e-06,2.767e-06
2012-05-31,2.767e-06,2.767e-06
2012-06-01,2.767e-06,2.767e-06
2012-06-04,3.162e-06,3.162e-06
2012-06-05,3.162e-06,3.162e-06
2012-06-06,3.557e-06,3.557e-06
2012-06-07,3.557e-06,3.557e-06
2012-06-08,3.557e-06,3.557e-06
2012-06-11,3.557e-06,3.557e-06
2012-06-12,3.953e-06,3.952e-06
2012-06-13,3.953e-06,3.952e-06
2012-06-14,4.348e-06,4.347e-06
2012-06-15,3.557e-06,3.557e-06
2012-06-18,3.953e-06,3.952e-06
2012-06-19,3.557e-06,3.557e-06
2012-06-20,3.557e-06,3.557e-06
2012-06-21,3.557e-06,3.557e-06
2012-06-22,3.557e-06,3.557e-06
2012-06-25,3.953e-06,3.952e-06
2012-06-26,3.953e-06,3.952e-06
2012-06-27,3.557e-06,3.557e-06
2012-06-28,3.557e-06,3.557e-06
2012-06-29,3.557e-06,3.557e-06
2012-07-02,3.953e-06,3.952e-06
2012-07-03,3.557e-06,3.557e-06
2012-07-05,3.162e-06,3.162e-06
2012-07-06,3.162e-06,3.162e-06
2012-07-09,3.557e-06,3.557e-06
2012-07-10,3.557e-06,3.557e-06
2012-07-11,3.953e-06,3.952e-06
2012-07-12,3.953e-06,3.952e-06
2012-07-13,3.953e-06,3.952e-06
2012-07-16,3.953e-06,3.952e-06
2012-07-17,3.953e-06,3.952e-06
2012-07-18,3.557e-06,3.557e-06
2012-07-19,3.557e-06,3.557e-06
2012-07-20,3.557e-06,3.557e-06
2012-07-23,3.953e-06,3.952e-06
2012-07-24,3.953e-06,3.952e-06
2012-07-25,3.953e-06,3.952e-06
2012-07-26,4.348e-06,4.347e-06
2012-07-27,4.348e-06,4.347e-06
2012-07-30,4.348e-06,4.347e-06
2012-07-31,4.348e-06,4.347e-06
2012-08-01,3.953e-06,3.952e-06
2012-08-02,3.557e-06,3.557e-06
2012-08-03,3.557e-06,3.557e-06
2012-08-06,3.953e-06,3.952e-06
2012-08-07,4.348e-06,4.347e-06
2012-08-08,4.348e-06,4.347e-06
2012-08-09,4.348e-06,4.347e-06
2012-08-10,3.953e-06,3.952e-06
2012-08-13,4.348e-06,4.347e-06
2012-08-14,4.348e-06,4.347e-06
2012-08-15,3.557e-06,3.557e-06
2012-08-16,3.557e-06,3.557e-06
2012-08-17,3.557e-06,3.557e-06
2012-08-20,4.348e-06,4.347e-06
2012-08-21,4.348e-06,4.347e-06
2012-08-22,4.348e-06,4.347e-06
2012-08-23,4.348e-06,4.347e-06
2012-08-24,3.953e-06,3.952e-06
2012-08-27,4.348e-06,4.347e-06
2012-08-28,3.953e-06,3.952e-06
2012-08-29,4.743e-06,4.742e-06
2012-08-30,3.953e-06,3.952e-06
2012-08-31,3.557e-06,3.557e-06
2012-09-04,3.953e-06,3.952e-06
2012-09-05,4.348e-06,4.347e-06
2012-09-06,4.348e-06,4.347e-06
2012-09-07,4.348e-06,4.347e-06
2012-09-10,3.953e-06,3.952e-06
2012-09-11,3.953e-06,3.952e-06
2012-09-12,3.953e-06,3.952e-06
2012-09-13,3.953e-06,3.952e-06
2012-09-14,4.348e-06,4.347e-06
2012-09-17,4.348e-06,4.347e-06
2012-09-18,3.953e-06,3.952e-06
2012-09-19,4.348e-06,4.347e-06
2012-09-20,4.348e-06,4.347e-06
2012-09-21,4.348e-06,4.347e-06
2012-09-24,4.348e-06,4.347e-06
2012-09-25,4.348e-06,4.347e-06
2012-09-26,4.348e-06,4.347e-06
2012-09-27,3.557e-06,3.557e-06
2012-09-28,3.953e-06,3.952e-06
2012-10-01,3.557e-06,3.557e-06
2012-10-02,3.557e-06,3.557e-06
2012-10-03,3.557e-06,3.557e-06
2012-10-04,3.953e-06,3.952e-06
2012-10-05,4.348e-06,4.347e-06
2012-10-09,3.953e-06,3.952e-06
2012-10-10,3.953e-06,3.952e-06
2012-10-11,3.953e-06,3.952e-06
2012-10-12,4.348e-06,4.347e-06
2012-10-15,4.348e-06,4.347e-06
2012-10-16,3.557e-06,3.557e-06
2012-10-17,4.348e-06,4.347e-06
2012-10-18,3.953e-06,3.952e-06
2012-10-19,3.953e-06,3.952e-06
2012-10-22,3.953e-06,3.952e-06
2012-10-23,4.348e-06,4.347e-06
2012-10-24,4.348e-06,4.347e-06
2012-10-25,4.348e-06,4.347e-06
2012-10-26,4.743e-06,4.742e-06
2012-10-29,5.534e-06,5.533e-06
2012-10-31,4.348e-06,4.347e-06
2012-11-01,3.557e-06,3.557e-06
2012-11-02,3.557e-06,3.557e-06
2012-11-05,4.348e-06,4.347e-06
2012-11-06,3.953e-06,3.952e-06
2012-11-07,3.953e-06,3.952e-06
2012-11-08,3.953e-06,3.952e-06
2012-11-09,3.557e-06,3.557e-06
2012-11-13,4.348e-06,4.347e-06
2012-11-14,3.953e-06,3.952e-06
2012-11-15,3.162e-06,3.162e-06
2012-11-16,2.372e-06,2.371e-06
2012-11-19,3.557e-06,3.557e-06
2012-11-20,3.162e-06,3.162e-06
2012-11-21,3.953e-06,3.952e-06
2012-11-23,3.953e-06,3.952e-06
2012-11-26,3.953e-06,3.952e-06
2012-11-27,3.953e-06,3.952e-06
2012-11-28,3.953e-06,3.952e-06
2012-11-29,3.557e-06,3.557e-06
2012-11-30,3.162e-06,3.162e-06
2012-12-03,3.953e-06,3.952e-06
2012-12-04,3.953e-06,3.952e-06
2012-12-05,3.953e-06,3.952e-06
2012-12-06,3.953e-06,3.952e-06
2012-12-07,3.557e-06,3.557e-06
2012-12-10,3.557e-06,3.557e-06
2012-12-11,3.162e-06,3.162e-06
2012-12-12,2.767e-06,2.767e-06
2012-12-13,2.372e-06,2.371e-06
2012-12-14,1.581e-06,1.581e-06
2012-12-17,1.976e-06,1.976e-06
2012-12-18,2.372e-06,2.371e-06
2012-12-19,1.976e-06,1.976e-06
2012-12-20,2.372e-06,2.371e-06
2012-12-21,2.372e-06,2.371e-06
2012-12-24,2.372e-06,2.371e-06
2012-12-26,3.557e-06,3.557e-06
2012-12-27,3.162e-06,3.162e-06
2012-12-28,3.95e-07,3.95e-07
2012-12-31,1.976e-06,1.976e-06
2013-01-02,3.162e-06,3.162e-06
2013-01-03,3.162e-06,3.162e-06
2013-01-04,2.767e-06,2.767e-06
2013-01-07,2.767e-06,2.767e-06
2013-01-08,2.767e-06,2.767e-06
2013-01-09,2.372e-06,2.371e-06
2013-01-10,2.372e-06,2.371e-06
2013-01-11,2.767e-06,2.767e-06
2013-01-14,3.162e-06,3.162e-06
2013-01-15,3.557e-06,3.557e-06
2013-01-16,3.162e-06,3.162e-06
2013-01-17,2.767e-06,2.767e-06
2013-01-18,3.162e-06,3.162e-06
2013-01-22,3.162e-06,3.162e-06
2013-01-23,3.162e-06,3.162e-06
2013-01-24,3.162e-06,3.162e-06
2013-01-25,3.162e-06,3.162e-06
2013-01-28,2.767e-06,2.767e-06
2013-01-29,2.767e-06,2.767e-06
2013-01-30,2.767e-06,2.767e-06
2013-01-31,2.767e-06,2.767e-06
2013-02-01,2.372e-06,2.371e-06
2013-02-04,2.767e-06,2.767e-06
2013-02-05,2.767e-06,2.767e-06
2013-02-06,2.767e-06,2.767e-06
2013-02-07,2.767e-06,2.767e-06
2013-02-08,2.767e-06,2.767e-06
2013-02-11,3.557e-06,3.557e-06
2013-02-12,3.557e-06,3.557e-06
2013-02-13,3.953e-06,3.952e-06
2013-02-14,4.348e-06,4.347e-06
2013-02-15,3.953e-06,3.952e-06
2013-02-19,4.743e-06,4.742e-06
2013-02-20,4.743e-06,4.742e-06
2013-02-21,5.138e-06,5.138e-06
2013-02-22,5.138e-06,5.138e-06
2013-02-25,4.743e-06,4.742e-06
2013-02-26,5.534e-06,5.533e-06
2013-02-27,4.348e-06,4.347e-06
2013-02-28,4.348e-06,4.347e-06
2013-03-01,4.348e-06,4.347e-06
2013-03-04,4.348e-06,4.347e-06
2013-03-05,3.162e-06,3.162e-06
2013-03-06,3.953e-06,3.952e-06
2013-03-07,3.953e-06,3.952e-06
2013-03-08,3.953e-06,3.952e-06
2013-03-11,3.953e-06,3.952e-06
2013-03-12,3.953e-06,3.952e-06
2013-03-13,3.557e-06,3.557e-06
2013-03-14,3.953e-06,3.952e-06
2013-03-15,3.557e-06,3.557e-06
2013-03-18,2.767e-06,2.767e-06
2013-03-19,2.767e-06,2.767e-06
2013-03-20,2.767e-06,2.767e-06
2013-03-21,2.767e-06,2.767e-06
2013-03-22,2.767e-06,2.767e-06
2013-03-25,3.162e-06,3.162e-06
2013-03-26,2.767e-06,2.767e-06
2013-03-27,3.557e-06,3.557e-06
2013-03-28,2.767e-06,2.767e-06
2013-04-01,3.162e-06,3.162e-06
2013-04-02,2.767e-06,2.767e-06
2013-04-03,2.372e-06,2.371e-06
2013-04-04,2.767e-06,2.767e-06
2013-04-05,2.767e-06,2.767e-06
2013-04-08,2.767e-06,2.767e-06
2013-04-09,2.372e-06,2.371e-06
2013-04-10,2.767e-06,2.767e-06
2013-04-11,2.767e-06,2.767e-06
2013-04-12,2.372e-06,2.371e-06
2013-04-15,2.372e-06,2.371e-06
2013-04-16,2.372e-06,2.371e-06
2013-04-17,2.372e-06,2.371e-06
2013-04-18,1.976e-06,1.976e-06
2013-04-19,1.976e-06,1.976e-06
2013-04-22,1.976e-06,1.976e-06
2013-04-23,1.976e-06,1.976e-06
2013-04-24,2.372e-06,2.371e-06
2013-04-25,1.976e-06,1.976e-06
2013-04-26,1.976e-06,1.976e-06
2013-04-29,1.976e-06,1.976e-06
2013-04-30,1.976e-06,1.976e-06
2013-05-01,2.372e-06,2.371e-06
2013-05-02,1.976e-06,1.976e-06
2013-05-03,1.976e-06,1.976e-06
2013-05-06,1.581e-06,1.581e-06
2013-05-07,1.581e-06,1.581e-06
2013-05-08,1.581e-06,1.581e-06
2013-05-09,1.581e-06,1.581e-06
2013-05-10,1.581e-06,1.581e-06
2013-05-13,1.976e-06,1.976e-06
2013-05-14,1.976e-06,1.976e-06
2013-05-15,1.581e-06,1.581e-06
2013-05-16,1.186e-06,1.186e-06
2013-05-17,1.581e-06,1.581e-06
2013-05-20,1.976e-06,1.976e-06
2013-05-21,1.581e-06,1.581e-06
2013-05-22,1.581e-06,1.581e-06
2013-05-23,1.976e-06,1.976e-06
2013-05-24,1.581e-06,1.581e-06
2013-05-28,1.976e-06,1.976e-06
2013-05-29,1.976e-06,1.976e-06
2013-05-30,1.581e-06,1.581e-06
2013-05-31,1.581e-06,1.581e-06
2013-06-03,1.976e-06,1.976e-06
2013-06-04,1.581e-06,1.581e-06
2013-06-05,1.976e-06,1.976e-06
2013-06-06,1.976e-06,1.976e-06
2013-06-07,1.581e-06,1.581e-06
2013-06-10,1.976e-06,1.976e-06
2013-06-11,1.976e-06,1.976e-06
2013-06-12,1.976e-06,1.976e-06
2013-06-13,1.976e-06,1.976e-06
2013-06-14,1.976e-06,1.976e-06
2013-06-17,1.976e-06,1.976e-06
2013-06-18,1.976e-06,1.976e-06
2013-06-19,1.976e-06,1.976e-06
2013-06-20,1.976e-06,1.976e-06
2013-06-21,1.976e-06,1.976e-06
2013-06-24,2.372e-06,2.371e-06
2013-06-25,2.372e-06,2.371e-06
2013-06-26,2.372e-06,2.371e-06
2013-06-27,2.372e-06,2.371e-06
2013-06-28,1.581e-06,1.581e-06
2013-07-01,1.581e-06,1.581e-06
2013-07-02,1.186e-06,1.186e-06
2013-07-03,1.976e-06,1.976e-06
2013-07-05,1.581e-06,1.581e-06
2013-07-08,1.976e-06,1.976e-06
2013-07-09,1.581e-06,1.581e-06
2013-07-10,1.581e-06,1.581e-06
2013-07-11,1.581e-06,1.581e-06
2013-07-12,1.581e-06,1.581e-06
2013-07-15,1.581e-06,1.581e-06
2013-07-16,1.186e-06,1.186e-06
2013-07-17,1.186e-06,1.186e-06
2013-07-18,1.186e-06,1.186e-06
2013-07-19,1.186e-06,1.186e-06
2013-07-22,1.581e-06,1.581e-06
2013-07-23,7.91e-07,7.9e-07
2013-07-24,1.186e-06,1.186e-06
2013-07-25,7.91e-07,7.9e-07
2013-07-26,1.186e-06,1.186e-06
2013-07-29,1.186e-06,1.186e-06
2013-07-30,1.581e-06,1.581e-06
2013-07-31,1.581e-06,1.581e-06
2013-08-01,1.581e-06,1.581e-06
2013-08-02,1.581e-06,1.581e-06
2013-08-05,1.976e-06,1.976e-06
2013-08-06,1.581e-06,1.581e-06
2013-08-07,1.976e-06,1.976e-06
2013-08-08,1.976e-06,1.976e-06
2013-08-09,1.976e-06,1.976e-06
2013-08-12,2.372e-06,2.371e-06
2013-08-13,2.372e-06,2.371e-06
2013-08-14,1.976e-06,1.976e-06
2013-08-15,1.976e-06,1.976e-06
2013-08-16,1.976e-06,1.976e-06
2013-08-19,2.372e-06,2.371e-06
2013-08-20,1.581e-06,1.581e-06
2013-08-21,1.581e-06,1.581e-06
2013-08-22,1.186e-06,1.186e-06
2013-08-23,1.186e-06,1.186e-06
2013-08-26,1.581e-06,1.581e-06
2013-08-27,1.976e-06,1.976e-06
2013-08-28,1.186e-06,1.186e-06
2013-08-29,7.91e-07,7.9e-07
2013-08-30,1.186e-06,1.186e-06
2013-09-03,7.91e-07,7.9e-07
2013-09-04,7.91e-07,7.9e-07
2013-09-05,7.91e-07,7.9e-07
2013-09-06,7.91e-07,7.9e-07
2013-09-09,7.91e-07,7.9e-07
2013-09-10,7.91e-07,7.9e-07
2013-09-11,7.91e-07,7.9e-07
2013-09-12,3.95e-07,3.95e-07
2013-09-13,3.95e-07,3.95e-07
2013-09-16,7.91e-07,7.9e-07
2013-09-17,3.95e-07,3.95e-07
2013-09-18,3.95e-07,3.95e-07
2013-09-19,3.95e-07,3.95e-07
2013-09-20,3.95e-07,3.95e-07
2013-09-23,7.91e-07,7.9e-07
2013-09-24,7.91e-07,7.9e-07
2013-09-25,7.91e-07,7.9e-07
2013-09-26,0.0,0.0
2013-09-27,7.91e-07,7.9e-07
2013-09-30,7.91e-07,7.9e-07
2013-10-01,7.91e-07,7.9e-07
2013-10-02,7.91e-07,7.9e-07
2013-10-03,1.186e-06,1.186e-06
2013-10-04,1.186e-06,1.186e-06
2013-10-07,1.186e-06,1.186e-06
2013-10-08,1.976e-06,1.976e-06
2013-10-09,1.976e-06,1.976e-06
2013-10-10,1.976e-06,1.976e-06
2013-10-11,3.162e-06,3.162e-06
2013-10-15,5.534e-06,5.533e-06
2013-10-16,3.953e-06,3.952e-06
2013-10-17,1.976e-06,1.976e-06
2013-10-18,1.581e-06,1.581e-06
2013-10-21,1.581e-06,1.581e-06
2013-10-22,1.581e-06,1.581e-06
2013-10-23,1.581e-06,1.581e-06
2013-10-24,1.186e-06,1.186e-06
2013-10-25,1.581e-06,1.581e-06
2013-10-28,1.581e-06,1.581e-06
2013-10-29,1.581e-06,1.581e-06
2013-10-30,1.581e-06,1.581e-06
2013-10-31,1.581e-06,1.581e-06
2013-11-01,1.581e-06,1.581e-06
2013-11-04,1.976e-06,1.976e-06
2013-11-05,1.976e-06,1.976e-06
2013-11-06,1.976e-06,1.976e-06
2013-11-07,1.976e-06,1.976e-06
2013-11-08,2.372e-06,2.371e-06
2013-11-12,3.162e-06,3.162e-06
2013-11-13,3.162e-06,3.162e-06
2013-11-14,3.162e-06,3.162e-06
2013-11-15,3.162e-06,3.162e-06
2013-11-18,3.557e-06,3.557e-06
2013-11-19,3.162e-06,3.162e-06
2013-11-20,3.162e-06,3.162e-06
2013-11-21,2.767e-06,2.767e-06
2013-11-22,2.767e-06,2.767e-06
2013-11-25,3.162e-06,3.162e-06
2013-11-26,2.767e-06,2.767e-06
2013-11-27,2.767e-06,2.767e-06
2013-11-29,2.372e-06,2.371e-06
2013-12-02,1.976e-06,1.976e-06
2013-12-03,2.372e-06,2.371e-06
2013-12-04,2.372e-06,2.371e-06
2013-12-05,2.372e-06,2.371e-06
2013-12-06,2.372e-06,2.371e-06
2013-12-09,2.767e-06,2.767e-06
2013-12-10,2.767e-06,2.767e-06
2013-12-11,2.767e-06,2.767e-06
2013-12-12,2.767e-06,2.767e-06
2013-12-13,2.767e-06,2.767e-06
2013-12-16,2.767e-06,2.767e-06
2013-12-17,2.767e-06,2.767e-06
2013-12-18,2.767e-06,2.767e-06
2013-12-19,2.372e-06,2.371e-06
2013-12-20,2.767e-06,2.767e-06
2013-12-23,2.767e-06,2.767e-06
2013-12-24,2.767e-06,2.767e-06
2013-12-26,2.767e-06,2.767e-06
2013-12-27,2.767e-06,2.767e-06
2013-12-30,2.767e-06,2.767e-06
2013-12-31,2.767e-06,2.767e-06
2014-01-02,2.767e-06,2.767e-06
2014-01-03,2.767e-06,2.767e-06
2014-01-06,1.976e-06,1.976e-06
2014-01-07,1.581e-06,1.581e-06
2014-01-08,1.976e-06,1.976e-06
2014-01-09,1.581e-06,1.581e-06
2014-01-10,1.976e-06,1.976e-06
2014-01-13,1.186e-06,1.186e-06
2014-01-14,1.581e-06,1.581e-06
2014-01-15,1.581e-06,1.581e-06
2014-01-16,1.581e-06,1.581e-06
2014-01-17,1.976e-06,1.976e-06
2014-01-21,1.581e-06,1.581e-06
2014-01-22,1.581e-06,1.581e-06
2014-01-23,1.581e-06,1.581e-06
2014-01-24,1.581e-06,1.581e-06
2014-01-27,1.976e-06,1.976e-06
2014-01-28,1.976e-06,1.976e-06
2014-01-29,1.581e-06,1.581e-06
2014-01-30,7.91e-07,7.9e-07
2014-01-31,7.91e-07,7.9e-07
2014-02-03,1.976e-06,1.976e-06
2014-02-04,2.372e-06,2.371e-06
2014-02-05,2.767e-06,2.767e-06
2014-02-06,2.767e-06,2.767e-06
2014-02-07,3.162e-06,3.162e-06
2014-02-10,2.767e-06,2.767e-06
2014-02-11,1.976e-06,1.976e-06
2014-02-12,1.976e-06,1.976e-06
2014-02-13,1.186e-06,1.186e-06
2014-02-14,7.91e-07,7.9e-07
2014-02-18,1.976e-06,1.976e-06
2014-02-19,2.372e-06,2.371e-06
2014-02-20,1.976e-06,1.976e-06
2014-02-21,1.976e-06,1.976e-06
2014-02-24,1.976e-06,1.976e-06
2014-02-25,1.976e-06,1.976e-06
2014-02-26,1.976e-06,1.976e-06
2014-02-27,1.581e-06,1.581e-06
2014-02-28,1.976e-06,1.976e-06
2014-03-03,1.976e-06,1.976e-06
2014-03-04,1.976e-06,1.976e-06
2014-03-05,2.372e-06,2.371e-06
2014-03-06,1.976e-06,1.976e-06
2014-03-07,2.372e-06,2.371e-06
2014-03-10,1.976e-06,1.976e-06
2014-03-11,1.976e-06,1.976e-06
2014-03-12,1.976e-06,1.976e-06
2014-03-13,1.976e-06,1.976e-06
2014-03-14,1.976e-06,1.976e-06
2014-03-17,2.372e-06,2.371e-06
2014-03-18,1.976e-06,1.976e-06
2014-03-19,2.372e-06,2.371e-06
2014-03-20,2.372e-06,2.371e-06
2014-03-21,2.372e-06,2.371e-06
2014-03-24,2.372e-06,2.371e-06
2014-03-25,1.976e-06,1.976e-06
2014-03-26,1.976e-06,1.976e-06
2014-03-27,1.581e-06,1.581e-06
2014-03-28,1.581e-06,1.581e-06
2014-03-31,1.976e-06,1.976e-06
2014-04-01,1.581e-06,1.581e-06
2014-04-02,7.91e-07,7.9e-07
2014-04-03,7.91e-07,7.9e-07
2014-04-04,1.186e-06,1.186e-06
2014-04-07,1.186e-06,1.186e-06
2014-04-08,1.186e-06,1.186e-06
2014-04-09,1.581e-06,1.581e-06
2014-04-10,1.581e-06,1.581e-06
2014-04-11,1.581e-06,1.581e-06
2014-04-14,1.581e-06,1.581e-06
2014-04-15,1.581e-06,1.581e-06
2014-04-16,1.581e-06,1.581e-06
2014-04-17,1.186e-06,1.186e-06
2014-04-21,1.581e-06,1.581e-06
2014-04-22,1.186e-06,1.186e-06
2014-04-23,7.91e-07,7.9e-07
2014-04-24,3.95e-07,3.95e-07
2014-04-25,1.186e-06,1.186e-06
2014-04-28,1.186e-06,1.186e-06
2014-04-29,7.91e-07,7.9e-07
2014-04-30,1.186e-06,1.186e-06
2014-05-01,1.186e-06,1.186e-06
2014-05-02,7.91e-07,7.9e-07
2014-05-05,1.186e-06,1.186e-06
2014-05-06,1.186e-06,1.186e-06
2014-05-07,1.186e-06,1.186e-06
2014-05-08,1.186e-06,1.186e-06
2014-05-09,1.186e-06,1.186e-06
2014-05-12,1.186e-06,1.186e-06
2014-05-13,1.186e-06,1.186e-06
2014-05-14,1.186e-06,1.186e-06
2014-05-15,1.186e-06,1.186e-06
2014-05-16,1.186e-06,1.186e-06
2014-05-19,1.186e-06,1.186e-06
2014-05-20,1.186e-06,1.186e-06
2014-05-21,1.581e-06,1.581e-06
2014-05-22,1.186e-06,1.186e-06
2014-05-23,1.581e-06,1.581e-06
2014-05-27,1.581e-06,1.581e-06
2014-05-28,1.581e-06,1.581e-06
2014-05-29,1.581e-06,1.581e-06
2014-05-30,1.581e-06,1.581e-06
2014-06-02,1.581e-06,1.581e-06
2014-06-03,1.581e-06,1.581e-06
2014-06-04,1.581e-06,1.581e-06
2014-06-05,1.581e-06,1.581e-06
2014-06-06,1.581e-06,1.581e-06
2014-06-09,1.581e-06,1.581e-06
2014-06-10,1.581e-06,1.581e-06
2014-06-11,1.581e-06,1.581e-06
2014-06-12,1.581e-06,1.581e-06
2014-06-13,1.581e-06,1.581e-06
2014-06-16,1.581e-06,1.581e-06
2014-06-17,1.581e-06,1.581e-06
2014-06-18,1.186e-06,1.186e-06
2014-06-19,7.91e-07,7.9e-07
2014-06-20,7.91e-07,7.9e-07
2014-06-23,1.186e-06,1.186e-06
2014-06-24,1.186e-06,1.186e-06
2014-06-25,1.186e-06,1.186e-06
2014-06-26,1.581e-06,1.581e-06
2014-06-27,1.186e-06,1.186e-06
2014-06-30,1.581e-06,1.581e-06
2014-07-01,7.91e-07,7.9e-07
2014-07-02,7.91e-07,7.9e-07
2014-07-03,3.95e-07,3.95e-07
2014-07-07,1.581e-06,1.581e-06
2014-07-08,1.186e-06,1.186e-06
2014-07-09,1.186e-06,1.186e-06
2014-07-10,7.91e-07,7.9e-07
2014-07-11,7.91e-07,7.9e-07
2014-07-14,1.186e-06,1.186e-06
2014-07-15,7.91e-07,7.9e-07
2014-07-16,7.91e-07,7.9e-07
2014-07-17,7.91e-07,7.9e-07
2014-07-18,7.91e-07,7.9e-07
2014-07-21,1.186e-06,1.186e-06
2014-07-22,1.186e-06,1.186e-06
2014-07-23,1.186e-06,1.186e-06
2014-07-24,1.186e-06,1.186e-06
2014-07-25,1.186e-06,1.186e-06
2014-07-28,1.581e-06,1.581e-06
2014-07-29,7.91e-07,7.9e-07
2014-07-30,1.581e-06,1.581e-06
2014-07-31,1.186e-06,1.186e-06
2014-08-01,1.186e-06,1.186e-06
2014-08-04,1.581e-06,1.581e-06
2014-08-05,1.186e-06,1.186e-06
2014-08-06,1.186e-06,1.186e-06
2014-08-07,1.186e-06,1.186e-06
2014-08-08,1.186e-06,1.186e-06
2014-08-11,1.581e-06,1.581e-06
2014-08-12,1.186e-06,1.186e-06
2014-08-13,1.581e-06,1.581e-06
2014-08-14,1.581e-06,1.581e-06
2014-08-15,1.186e-06,1.186e-06
2014-08-18,1.186e-06,1.186e-06
2014-08-19,1.186e-06,1.186e-06
2014-08-20,1.581e-06,1.581e-06
2014-08-21,7.91e-07,7.9e-07
2014-08-22,1.186e-06,1.186e-06
2014-08-25,1.581e-06,1.581e-06
2014-08-26,1.186e-06,1.186e-06
2014-08-27,1.581e-06,1.581e-06
2014-08-28,1.186e-06,1.186e-06
2014-08-29,1.186e-06,1.186e-06
2014-09-02,1.186e-06,1.186e-06
2014-09-03,1.186e-06,1.186e-06
2014-09-04,1.186e-06,1.186e-06
2014-09-05,1.186e-06,1.186e-06
2014-09-08,7.91e-07,7.9e-07
2014-09-09,7.91e-07,7.9e-07
2014-09-10,7.91e-07,7.9e-07
2014-09-11,7.91e-07,7.9e-07
2014-09-12,7.91e-07,7.9e-07
2014-09-15,7.91e-07,7.9e-07
2014-09-16,7.91e-07,7.9e-07
2014-09-17,7.91e-07,7.9e-07
2014-09-18,7.91e-07,7.9e-07
2014-09-19,7.91e-07,7.9e-07
2014-09-22,3.95e-07,3.95e-07
2014-09-23,3.95e-07,3.95e-07
2014-09-24,7.91e-07,7.9e-07
2014-09-25,3.95e-07,3.95e-07
2014-09-26,3.95e-07,3.95e-07
2014-09-29,7.91e-07,7.9e-07
2014-09-30,7.91e-07,7.9e-07
2014-10-01,7.91e-07,7.9e-07
2014-10-02,3.95e-07,3.95e-07
2014-10-03,3.95e-07,3.95e-07
2014-10-06,7.91e-07,7.9e-07
2014-10-07,7.91e-07,7.9e-07
2014-10-08,3.95e-07,3.95e-07
2014-10-09,3.95e-07,3.95e-07
2014-10-10,3.95e-07,3.95e-07
2014-10-14,7.91e-07,7.9e-07
2014-10-15,7.91e-07,7.9e-07
2014-10-16,1.186e-06,1.186e-06
2014-10-17,7.91e-07,7.9e-07
2014-10-20,7.91e-07,7.9e-07
2014-10-21,7.91e-07,7.9e-07
2014-10-22,7.91e-07,7.9e-07
2014-10-23,3.95e-07,3.95e-07
2014-10-24,3.95e-07,3.95e-07
2014-10-27,7.91e-07,7.9e-07
2014-10-28,7.91e-07,7.9e-07
2014-10-29,1.186e-06,1.186e-06
2014-10-30,3.95e-07,3.95e-07
2014-10-31,3.95e-07,3.95e-07
2014-11-03,7.91e-07,7.9e-07
2014-11-04,1.186e-06,1.186e-06
2014-11-05,1.186e-06,1.186e-06
2014-11-06,1.186e-06,1.186e-06
2014-11-07,1.186e-06,1.186e-06
2014-11-10,7.91e-07,7.9e-07
2014-11-12,7.91e-07,7.9e-07
2014-11-13,7.91e-07,7.9e-07
2014-11-14,7.91e-07,7.9e-07
2014-11-17,1.186e-06,1.186e-06
2014-11-18,7.91e-07,7.9e-07
2014-11-19,3.95e-07,3.95e-07
2014-11-20,7.91e-07,7.9e-07
2014-11-21,3.95e-07,3.95e-07
2014-11-24,7.91e-07,7.9e-07
2014-11-25,7.91e-07,7.9e-07
2014-11-26,7.91e-07,7.9e-07
2014-11-28,7.91e-07,7.9e-07
2014-12-01,1.186e-06,1.186e-06
2014-12-02,1.186e-06,1.186e-06
2014-12-03,3.95e-07,3.95e-07
2014-12-04,7.91e-07,7.9e-07
